id,brand,car_model,type,desc,problem,datetime,status
571259,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳油耗高希望厂家处理问题,"A85,",2021-02-08,处理反馈
571257,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国V,一汽大众奥迪A4L天窗发动机车内刹车异响,"A9,E43,H164,H89,",2021-02-08,信息审核
571256,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾变速箱漏油厂家未联系,"B22,",2021-02-08,处理反馈
571254,吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越刹车抖动 转向柱间隙大希望处理,"D80,E111,",2021-02-08,信息审核
571251,一汽-大众,高尔夫,2016款 1.6L  自动 舒适型,一汽大众高尔夫变速箱报故障码维修未解决,"B96,",2021-02-08,处理反馈
571249,东风标致,标致408,2014款 1.6T 自动 至尊版,东风标致408发动机故障灯亮节气门故障,"A34,A251,Q322,",2021-02-08,厂家受理
571247,华晨宝马,宝马5系新能源,2020款 530Le 里程升级版 先锋版,华晨宝马5系新能源天窗异响反复维修未解决,"H89,J298,",2021-02-08,用户评分
571246,众泰汽车,大迈X7,2018款 2.0T 自动 尊贵型,众泰大迈X7永久免费保养承诺未兑现,"M279,",2021-02-08,信息审核
571243,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8出现水泵漏水存在质量问题,"A24,A191,A221,B33,J298,N317,",2021-02-08,厂家受理
571242,一汽-大众奥迪,奥迪A3,2016款 Sportback 1.4T 双离合 风尚型,一汽大众奥迪A3变速箱机电控制单元故障,"B96,B115,",2021-02-08,信息审核
571238,东风日产,天籁,2021款 2.0L XL Upper AD1 智行领航版,东风日产天籁车载USB无法读取数据,"H134,H155,J301,",2021-02-08,信息审核
571236,东风标致,标致2008,2015款 1.6THP 自动 时尚版,东风标致2008凸轮轴齿轮磨损希望处理,"A129,",2021-02-08,处理反馈
571235,一汽奔腾,奔腾B30,2017款 1.6L 手动 舒适型,一汽奔腾B30发动机机脚螺丝出现断裂,"A241,",2021-02-08,处理反馈
571234,一汽马自达,睿翼,2010款 2.0L 豪华版,一汽马自达睿翼副驾驶气囊盖板开裂,"H176,",2021-02-08,信息审核
571229,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁高速行驶安全气囊故障灯亮,"H103,",2021-02-08,处理反馈
571227,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳颗粒捕捉器堵塞导致油耗高,"A85,A114,",2021-02-08,用户评分
571226,SWM斯威汽车,SWM斯威X3,2017款 1.5T 风尚型,斯威X3排气管冒白烟并伴有异味存在质量缺陷,"A114,",2021-02-08,厂家受理
571222,华晨宝马,宝马5系,2021款 530Li 领先型 M运动套装,华晨宝马5系经销商低开发票不给备用钥匙,"I295,M315,O353,",2021-02-08,信息审核
571220,广汽乘用车,传祺GS4新能源,2017款 1.5L PHEV 尊享版,广汽传祺GS4新能源空调压缩机故障导致不制冷,"H101,",2021-02-08,信息审核
571219,一汽-大众奥迪,奥迪A4L,2018款 2.0T 时尚型 30周年年型,一汽大众奥迪A4L日行灯不亮 4S店不予保修,"H82,I297,",2021-02-08,信息审核
571216,领克,领克01,2021款 2.0TD 两驱 型Pro,领克01车辆停放一周电瓶没电要求解决,"H146,",2021-02-08,信息审核
571210,吉利汽车,帝豪GS,2020款 1.4T CVT 雅,吉利帝豪GS方向机异响 电子助力管柱故障,"D59,D265,J301,",2021-02-08,信息审核
571209,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放发动机舱渗入泥沙,"Q322,",2021-02-08,信息审核
571205,一汽-大众,迈腾,2013款 1.8TSI 舒适型,一汽大众迈腾变速器电控系统提示故障,"B115,",2021-02-08,处理反馈
571203,奇瑞汽车,瑞虎8,2018款 1.5TCI 手动 尊贵型 7座,奇瑞瑞虎8水箱漏水希望厂家质保处理,"A37,A191,",2021-02-08,用户评分
571201,一汽丰田,威驰,2017款 1.5L 手动 创行版,一汽丰田威驰发动机异响希望延保,"A9,",2021-02-08,信息审核
571200,北京现代,名图,2019款 1.8L 自动 智能型GLS 纪念款 国VI,北京现代名图变速箱换挡有顿挫希望厂家处理,"B19,",2021-02-08,厂家受理
571199,一汽-大众,探岳X,2020款 330TSI 两驱 尊贵智联版,一汽大众探岳X自动启停失效 发动机油耗高,"A85,H263,",2021-02-08,处理反馈
571198,东风标致,标致408,2018款 350THP 自动 豪华版,东风标致408发动机故障灯亮节气门损坏,"A34,A251,",2021-02-08,处理反馈
571196,奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 领潮版,奇瑞艾瑞泽5车身与车内支架生锈锈蚀,"H79,",2021-02-08,处理反馈
571193,长安汽车,长安欧尚X7,2020款 1.5T 自动 豪华型,长安欧尚X7玻璃水管连接处脱落导致漏水,"H60,",2021-02-08,处理反馈
571191,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 精英版,奇瑞瑞虎8发动机机油乳化问题未处理,"A13,",2021-02-08,用户评分
571189,一汽-大众,宝来,2019款 宝来·传奇 1.5L 自动 时尚型 国V,一汽大众宝来冬季制动时存在异常响声,"E43,",2021-02-08,处理反馈
571188,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408大灯外壳有裂纹现象,"H220,",2021-02-08,处理反馈
571185,奇瑞捷豹路虎,捷豹XEL,2020款 2.0T 200PS R-DYNAMIC S进取运动版,奇瑞捷豹路虎捷豹XEL油门踏板共振明显,"H268,",2021-02-08,处理反馈
571180,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L中控台异响希望处理	,"H93,",2021-02-08,信息审核
571179,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动方向盘脱皮希望厂家处理,"H157,",2021-02-08,厂家受理
571175,一汽-大众,探岳,2019款 380TSI 四驱 R-Line 国V,一汽大众探岳变速箱异响存在质量问题,"B33,",2021-02-08,处理反馈
571173,吉利汽车,吉利ICON,2020款 1.5TD i6 BSG,吉利ICON玲珑轮胎开裂要求厂家处理,"F100,",2021-02-08,厂家受理
571172,上汽大众,凌渡,2015款 330TSI DSG 舒适版,上汽大众凌渡车内有严重异味影响身体健康,"H185,",2021-02-08,处理反馈
571168,一汽-大众奥迪,奥迪A3,2014款 Sportback 1.4T 双离合 进取型,一汽大众奥迪A3方向盘转不动故障灯亮,"D57,D291,",2021-02-08,信息审核
571167,星途,星途LX,2020款 乘风破浪版 1.5T CVT 星耀版,星途LX车机系统无法手机绑定希望处理,"H155,",2021-02-08,信息审核
571164,北京现代,朗动,2012款 1.6L 手动 领先型,北京现代朗动正常行驶汽油泵故障导致缺缸,"H78,",2021-02-08,厂家受理
571163,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国V,广汽丰田凯美瑞中控台有开裂现象,"H168,",2021-02-08,处理反馈
571162,一汽丰田,皇冠,2015款 2.0T 时尚版,一汽丰田皇冠中控屏开裂厂家未予理睬,"H168,",2021-02-08,信息审核
571161,上汽大众,途观L,2017款 380TSI 四驱 豪华版,上汽大众途观L变速箱进入紧急状态,"B84,B115,",2021-02-08,处理反馈
571160,一汽红旗,红旗HS7,2021款 2.0T 自动 两驱 智联旗畅版,红旗HS7冷车启动时刹车严重异响,"E43,",2021-02-08,信息审核
571159,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL左前门锁故障 后备箱状态不显示,"H68,H197,",2021-02-08,信息审核
571155,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳自动启停失效 油耗高,"A85,H263,",2021-02-08,处理反馈
571154,一汽海马,福美来,2015款 1.6L 手动 挚爱版 M5,一汽海马福美来发动机异响 抖动不予解决,"A9,A24,",2021-02-08,用户评分
571153,长安汽车,长安欧尚CX70,2017款 CX70T 1.5T 手动 豪擎版 改款,长安欧尚CX70冷启动加速变速箱顿挫,"B19,B95,",2021-02-08,厂家受理
571152,一汽-大众,宝来,2019款 1.5L 自动 舒适型,一汽大众宝来转向加油时左前车轮异响,"G125,",2021-02-08,处理反馈
571151,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 风尚版 国VI,东风本田CR-V发动机机油增多希望解决,"A339,",2021-02-08,处理反馈
571147,一汽-大众,捷达,2010款 1.6 手动 前卫型,一汽大众捷达车体由内向外腐烂生锈严重,"H79,",2021-02-08,处理反馈
571144,一汽奔腾,奔腾X40,2017款 1.6L 自动 尊贵型,一汽奔腾X40发动机故障报警 轮胎啃胎严重,"A34,G245,",2021-02-08,处理反馈
571142,广汽乘用车,传祺GA4,2018款 200T 自动 尊享版,广汽传祺GA4买车时续保押金不退还,"L313,",2021-02-08,处理反馈
571140,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国V,一汽大众迈腾变速箱异响顿挫 加速无力,"B33,B19,B334,I295,",2021-02-08,处理反馈
571137,一汽-大众,探岳,2020款 380TSI 四驱 R-Line智联版,一汽大众探岳尾气排放不合格希望处理,"A114,",2021-02-08,处理反馈
571136,广汽本田,飞度,2014款 1.5L 手动 LX舒适型,广汽本田飞度启动中发动机VTC执行器异响,"A9,",2021-02-08,处理反馈
571135,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L大灯内部流胶现象严重,"H220,",2021-02-08,信息审核
571134,福田汽车,欧曼,2008款 BJ4181SLFJA-6 牵引,福田欧曼差速器故障导致无法正常行驶,"H86,",2021-02-08,信息审核
571133,上汽通用五菱,五菱宏光,2018款 1.5L S 基本型,上汽通用五菱宏光经销商收取贷款解压费,"K307,",2021-02-08,处理反馈
571132,一汽丰田,卡罗拉,2018款 1.2T S-CVT GL智享版,一汽丰田卡罗拉变速箱低速顿挫伴有异响,"B33,B19,",2021-02-08,信息审核
571131,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳颗粒捕捉器频繁堵塞油耗增高,"A85,A114,",2021-02-08,处理反馈
571130,上汽大众,途观L,2021款 330TSI 自动 两驱 R-Line越享版,上汽大众途观L颗粒捕捉器堵塞导致油耗高,"A85,A114,H170,",2021-02-08,处理反馈
571128,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞引起油耗高,"A85,A114,",2021-02-08,处理反馈
571127,众泰汽车,众泰T700,2017款 1.8T 双离合 尊享型,众泰T700变速箱无法加速客服联系不上,"B334,",2021-02-08,信息审核
571124,上汽大众,途观L,2021款 330TSI 自动 两驱 R-Line旗舰版,上汽大众途观L颗粒捕捉器堵塞导致油耗高,"A85,A114,",2021-02-08,处理反馈
571120,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 悦享型,一汽大众捷达VS5变速箱异响希望处理,"B33,",2021-02-08,处理反馈
571119,华晨宝马,宝马X1新能源,2018款 xDrive25Le 豪华型,华晨宝马X1新能源电机和减速器连接处有异响	,"B33,",2021-02-08,信息审核
571116,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A4L大灯内壁有流水状物质,"H88,",2021-02-08,信息审核
571113,东风日产,骐达TIIDA,2019款 1.6L CVT 智享版 国V,东风日产骐达严重亏电 车辆无法启动,"H146,",2021-02-08,信息审核
571112,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智冷车启动时有打齿声音,"A9,",2021-02-08,处理反馈
571110,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,大众探岳店内发生事故保险理赔过度维修,"J306,",2021-02-08,处理反馈
571108,东风标致,标致408,2014款 1.6T 自动 至尊版,东风标致408发动机故障灯亮 无法提速,"A34,A160,",2021-02-08,用户评分
571107,广汽乘用车,传祺GS5,2019款 270T 自动 尊享版,广汽传祺GS5质量问题频发要求退车,"H82,H118,Q322,",2021-02-08,用户评分
571104,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A4L大灯内部流胶现象严重,"H220,",2021-02-08,信息审核
571101,华晨宝马,宝马5系新能源,2020款 530Le 里程升级版 先锋版,华晨宝马5系新能源皮带断裂导致发动机损坏,"A329,A222,",2021-02-08,信息审核
571100,长安福特,探险者,2020款 EcoBoost 285 四驱 风尚版 7座,长安福特探险者车身共振 倒挡迟钝 悬挂硬,"B69,G204,H268,",2021-02-08,厂家受理
571099,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯发白影响夜间行驶安全,"H82,",2021-02-08,信息审核
571098,长安福特,翼虎,2015款 1.5L GTDi 两驱风尚型 5座,长安福特翼虎碳罐堵塞汽油箱无法加满,"H271,",2021-02-08,用户评分
571093,奇瑞新能源,小蚂蚁,2019款 小蚂蚁 智炫版 4座 35kWh,奇瑞小蚂蚁动力电池故障 售后态度消极,"H343,I295,",2021-02-07,信息审核
571091,长安汽车,锐程CC,2021款 蓝鲸版 1.5T DCT 尊贵型,长安锐程CC天窗异响影响正常驾驶,"H89,",2021-02-07,处理反馈
571090,沃尔沃亚太,沃尔沃S60,2021款 T4 智逸豪华版,亚太沃尔沃S60车窗玻璃松动 车身色差大,"H72,H201,",2021-02-07,信息审核
571087,Jeep（进口）,指南者（进口）,2014款 2.4L 自动 四驱 运动版,进口Jeep指南者车内异味恶臭难忍,"H185,",2021-02-07,信息审核
571086,东风日产,奇骏,2014款 2.5L XL CVT 四驱 豪华版,东风日产奇骏变速箱报P0776故障码,"B84,",2021-02-07,信息审核
571084,一汽-大众,高尔夫,2018款 1.6L 自动 舒适型,一汽大众高尔夫变速箱降挡冲击顿挫异响,"B33,B19,",2021-02-07,处理反馈
571081,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜模糊影响照明,"H82,",2021-02-07,处理反馈
571080,领克,领克03,2020款 1.5TD DCT 劲Pro版,领克03升级程序后油耗变高动力降低刹车变软,"O348,",2021-02-07,厂家受理
571079,广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌变速箱低速顿挫抖动,"B19,B95,",2021-02-07,用户评分
571078,上汽通用五菱,新宝骏RS-3,2020款 1.5L 手动 智能舒适型,新宝骏RS-3车身和车顶多处有掉漆的现象,"H81,",2021-02-07,处理反馈
571073,北京现代,瑞纳,2014款 1.4L 手动 时尚型GS 三厢,北京现代瑞纳刹车时有异响而且刹车失灵,"E43,E29,",2021-02-07,厂家受理
571072,上汽大众,途安,2018款 途安L 280TSI 自动 豪华版 7座,上汽大众途安变速器和转向异响4S店无法处理,"B33,D59,",2021-02-07,处理反馈
571070,北京现代,悦动,2020款 1.6L 自动 悦值版GLS,北京现代悦动销售商出售问题车漆面有喷漆,"M284,",2021-02-07,厂家受理
571069,东风本田,杰德,2016款 1.8L 自动 舒适精英版 5座,东风本田杰德中控屏黑屏鼓风机异响,"H134,H185,H101,",2021-02-07,处理反馈
571068,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,奇瑞瑞虎8 PLUS变速箱挡位错乱存在质量问题,"B84,B115,",2021-02-07,处理反馈
571064,上汽大众,途观,2016款 300TSI 自动 四驱 风尚视野版,上汽大众途观耦合器异响要求召回处理,"G127,",2021-02-07,处理反馈
571062,江淮汽车,瑞风S3,2014款 1.5L 手动 豪华智能型,江淮瑞风S3底盘生锈希望得到处理,"H79,",2021-02-07,处理反馈
571059,华晨宝马,宝马X1,2016款 sDrive18Li 尊享型,华晨宝马X1发动机机脚塌陷 天窗异响,"A24,H89,",2021-02-07,处理反馈
571058,吉利汽车,熊猫,2009款 1.3L 手动 功夫版,吉利熊猫转向助力失效 后桥断裂,"D112,G230,",2021-02-07,信息审核
571057,北京现代,悦动,2020款 1.6L 自动 悦目版GL,北京现代悦动转向管柱处出现异响,"D59,",2021-02-07,处理反馈
571056,一汽-大众,高尔夫·嘉旅,2016款 1.6L 自动 舒适型,一汽大众高尔夫嘉旅变速箱换挡顿挫严重,"B19,",2021-02-07,处理反馈
571055,华晨宝马,宝马3系,2020款 325Li M运动套装,华晨宝马3系刹车片异常磨损希望处理,"E47,",2021-02-07,处理反馈
571053,福田汽车,图雅诺,2019款 2.5T E5 4J25TC3,福田图雅诺发动机烧机油 钢板减震失弹,"A63,G171,",2021-02-07,信息审核
571052,长安福特,翼虎,2019款 EcoBoost 180 两驱 豪翼型 国V,长安福特翼虎低温时后悬架有异响现象,"G204,",2021-02-07,处理反馈
